Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.602,3.837,2.764,3.033,2.608,3.463,0.725,0.666,0.797,4.376,4.035,4.893,0.099,0.051,0.182
2000,2.602,3.837,2.764,3.033,2.608,3.463,0.762,0.703,0.827,4.376,4.035,4.893,0.095,0.047,0.168
2001,2.602,3.837,2.764,3.033,2.608,3.463,0.763,0.709,0.832,4.376,4.035,4.893,0.095,0.047,0.168
2002,2.602,3.837,2.764,2.64,2.231,3.119,0.77,0.723,0.837,4.376,4.035,4.893,0.095,0.047,0.168
2003,2.602,3.837,2.764,2.64,2.231,3.119,0.663,0.587,0.726,3.956,3.576,4.304,0.101,0.048,0.175
2004,2.602,3.837,2.764,2.64,2.231,3.119,0.62,0.547,0.695,3.956,3.576,4.304,0.101,0.048,0.175
2005,2.602,3.837,2.764,2.64,2.231,3.119,0.619,0.545,0.693,3.956,3.576,4.304,0.101,0.048,0.175
2006,2.602,3.837,2.764,2.64,2.231,3.119,0.619,0.542,0.696,3.956,3.576,4.304,0.096,0.046,0.162
2007,2.602,3.837,2.764,2.64,2.231,3.119,0.621,0.55,0.697,3.956,3.576,4.304,0.087,0.043,0.16
2008,2.602,3.837,2.764,2.64,2.231,3.119,0.592,0.512,0.664,3.861,3.499,4.243,0.088,0.04,0.158
2009,2.602,3.837,2.764,2.64,2.231,3.119,0.585,0.518,0.666,3.861,3.499,4.243,0.088,0.04,0.158
2010,2.602,3.837,2.764,2.64,2.231,3.119,0.583,0.523,0.684,3.861,3.499,4.243,0.088,0.04,0.158
2011,2.602,3.837,2.764,2.64,2.231,3.119,0.584,0.521,0.681,3.861,3.499,4.243,0.088,0.04,0.158
2012,2.602,3.837,2.764,2.64,2.231,3.119,0.588,0.509,0.668,3.861,3.499,4.243,0.088,0.04,0.158
2013,2.614,3.837,2.799,2.64,2.231,3.119,0.592,0.528,0.679,3.861,3.499,4.243,0.095,0.046,0.169
2014,2.614,3.837,2.799,2.64,2.231,3.119,0.596,0.53,0.682,3.861,3.499,4.243,0.095,0.046,0.169
2015,2.582,3.69,2.752,2.64,2.231,3.119,0.585,0.506,0.658,3.861,3.499,4.243,0.095,0.046,0.169
2016,2.604,3.69,2.814,2.64,2.231,3.119,0.58,0.502,0.652,3.637,3.259,4.026,0.096,0.051,0.186
2017,2.604,3.69,2.814,2.64,2.231,3.119,0.555,0.483,0.627,3.637,3.259,4.026,0.098,0.047,0.176
2018,2.535,3.69,2.708,2.64,2.231,3.119,0.558,0.483,0.639,3.525,3.156,3.91,0.098,0.047,0.176
2019,2.476,3.649,2.656,2.64,2.231,3.119,0.556,0.479,0.634,3.525,3.156,3.91,0.095,0.051,0.182
2020,2.677,3.821,2.879,2.64,2.231,3.119,0.686,0.628,0.764,3.907,3.528,4.365,0.082,0.041,0.153
2021,2.514,3.821,2.693,2.64,2.231,3.119,0.666,0.6,0.737,3.907,3.528,4.365,0.082,0.041,0.153
2022,2.514,3.821,2.693,2.64,2.231,3.119,0.642,0.574,0.73,3.632,3.265,4.12,0.082,0.04,0.156
