Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.942,3.602,3.257,2.1,1.767,2.338,0.733,0.667,0.793,3.31,2.894,3.777,0.097,0.053,0.175
2000,2.942,3.602,3.257,2.1,1.767,2.338,0.732,0.677,0.804,3.31,2.894,3.777,0.098,0.052,0.171
2001,2.942,3.602,3.257,2.1,1.767,2.338,0.732,0.677,0.804,3.31,2.894,3.777,0.098,0.052,0.171
2002,2.942,3.602,3.257,2.52,2.209,2.82,0.784,0.733,0.838,4.249,3.952,4.544,0.073,0.037,0.138
2003,2.942,3.602,3.257,2.52,2.209,2.82,0.786,0.729,0.838,4.249,3.952,4.544,0.07,0.037,0.135
2004,2.942,3.602,3.257,2.576,2.256,2.88,0.786,0.729,0.838,4.249,3.952,4.544,0.07,0.037,0.135
2005,2.653,3.602,2.892,2.576,2.256,2.88,0.812,0.775,0.87,4.249,3.952,4.544,0.07,0.037,0.135
2006,2.653,3.602,2.892,2.576,2.256,2.88,0.812,0.773,0.868,4.249,3.952,4.544,0.07,0.037,0.135
2007,2.653,3.602,2.892,2.576,2.256,2.88,0.807,0.766,0.859,4.249,3.952,4.544,0.07,0.037,0.135
2008,2.653,3.602,2.892,2.576,2.256,2.88,0.807,0.766,0.859,4.249,3.952,4.544,0.07,0.037,0.135
2009,2.653,3.602,2.892,2.576,2.256,2.88,0.807,0.766,0.859,4.249,3.952,4.544,0.07,0.037,0.135
2010,2.653,3.602,2.892,2.576,2.256,2.88,0.804,0.761,0.857,4.249,3.952,4.544,0.063,0.03,0.119
2011,2.653,3.602,2.892,2.576,2.256,2.88,0.806,0.76,0.859,4.198,3.921,4.501,0.062,0.03,0.115
2012,2.653,3.602,2.892,2.576,2.256,2.88,0.803,0.765,0.861,4.198,3.921,4.501,0.062,0.03,0.115
2013,2.444,3.602,2.66,2.576,2.256,2.88,0.814,0.771,0.866,4.403,4.127,4.736,0.062,0.03,0.115
2014,2.444,3.602,2.66,2.576,2.256,2.88,0.806,0.764,0.86,4.274,3.978,4.623,0.062,0.03,0.115
2015,2.444,3.529,2.66,2.576,2.256,2.88,0.798,0.759,0.858,4.274,3.978,4.623,0.062,0.03,0.115
2016,2.401,3.389,2.606,2.373,2.086,2.706,0.531,0.461,0.616,2.751,2.314,3.101,0.081,0.043,0.144
2017,2.401,3.305,2.606,2.373,2.086,2.706,0.533,0.458,0.614,2.661,2.259,3.054,0.085,0.043,0.148
2018,2.401,3.305,2.606,2.373,2.086,2.706,0.45,0.366,0.52,2.778,2.368,3.192,0.094,0.05,0.17
2019,2.401,3.13,2.606,2.369,2.08,2.687,0.403,0.327,0.475,2.823,2.371,3.185,0.092,0.045,0.157
2020,2.401,3.13,2.606,2.348,1.99,2.616,0.385,0.311,0.461,2.688,2.302,3.14,0.092,0.045,0.157
2021,2.401,2.645,2.606,2.357,2.07,2.671,0.412,0.346,0.494,3.284,2.864,3.78,0.152,0.09,0.245
2022,2.209,2.537,2.441,2.104,1.8,2.404,0.448,0.375,0.528,3.24,2.755,3.766,0.152,0.09,0.245
