Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,3.029,3.796,3.243,2.918,2.541,3.326,0.779,0.733,0.845,3.236,2.782,3.748,0.412,0.282,0.535
2000,3.029,3.796,3.243,3.406,3.091,3.755,0.8,0.76,0.859,3.797,3.535,4.155,0.282,0.175,0.399
2001,3.029,3.796,3.243,3.406,3.091,3.755,0.8,0.759,0.859,3.797,3.535,4.155,0.282,0.175,0.399
2002,3.029,3.796,3.243,3.406,3.091,3.755,0.804,0.754,0.856,3.797,3.535,4.155,0.282,0.175,0.399
2003,3.029,3.796,3.243,3.406,3.091,3.755,0.803,0.757,0.86,3.797,3.535,4.155,0.282,0.175,0.399
2004,3.029,3.796,3.243,3.406,3.091,3.755,0.81,0.751,0.857,3.797,3.535,4.155,0.282,0.175,0.399
2005,3.029,3.796,3.243,3.406,3.091,3.755,0.804,0.76,0.861,3.797,3.535,4.155,0.282,0.175,0.399
2006,3.029,3.796,3.243,3.406,3.091,3.755,0.822,0.782,0.875,3.871,3.565,4.16,0.28,0.176,0.404
2007,3.029,3.796,3.243,3.406,3.091,3.755,0.822,0.782,0.875,3.871,3.565,4.16,0.278,0.178,0.404
2008,3.029,3.796,3.243,3.406,3.091,3.755,0.822,0.782,0.875,3.871,3.565,4.16,0.278,0.178,0.404
2009,3.029,3.796,3.243,3.406,3.091,3.755,0.821,0.775,0.87,3.871,3.565,4.16,0.278,0.178,0.404
2010,3.029,3.796,3.243,3.406,3.091,3.755,0.796,0.746,0.85,3.786,3.522,4.083,0.268,0.154,0.372
2011,3.029,3.879,3.243,3.406,3.091,3.755,0.804,0.762,0.865,3.982,3.731,4.286,0.268,0.154,0.372
2012,3.029,3.879,3.243,3.406,3.091,3.755,0.803,0.755,0.866,3.771,3.518,4.074,0.268,0.154,0.372
2013,3.099,3.879,3.33,3.406,3.091,3.755,0.796,0.746,0.855,3.889,3.619,4.2,0.268,0.154,0.372
2014,3.099,3.879,3.33,3.406,3.091,3.755,0.822,0.773,0.867,3.96,3.688,4.246,0.257,0.176,0.397
2015,3.099,3.879,3.33,3.406,3.091,3.755,0.816,0.777,0.877,3.908,3.634,4.223,0.259,0.169,0.384
2016,3.099,3.879,3.33,3.406,3.091,3.755,0.815,0.768,0.871,3.908,3.634,4.223,0.259,0.169,0.384
2017,3.099,3.879,3.33,3.406,3.091,3.755,0.805,0.756,0.862,3.726,3.461,4.046,0.26,0.158,0.371
2018,3.03,3.879,3.264,3.406,3.091,3.755,0.781,0.732,0.836,3.594,3.276,3.905,0.26,0.159,0.375
2019,2.865,3.587,3.105,3.406,3.091,3.755,0.739,0.685,0.802,3.895,3.609,4.219,0.245,0.148,0.348
2020,2.865,3.888,3.105,3.3,2.995,3.708,0.738,0.676,0.792,3.618,3.286,3.985,0.311,0.212,0.441
2021,3.134,3.888,3.414,2.888,2.471,3.324,0.773,0.719,0.829,4.301,4.009,4.703,0.337,0.231,0.476
2022,3.283,3.888,3.69,2.888,2.471,3.324,0.758,0.713,0.821,4.301,4.009,4.703,0.228,0.136,0.352
