Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.189,3.278,2.376,1.102,0.904,1.328,0.343,0.27,0.421,2.859,2.153,3.46,0.483,0.335,0.631
2000,2.189,3.278,2.376,1.374,1.156,1.612,0.347,0.273,0.426,2.859,2.153,3.46,0.463,0.311,0.595
2001,2.189,3.278,2.376,1.374,1.156,1.612,0.345,0.268,0.42,2.859,2.153,3.46,0.461,0.311,0.601
2002,2.189,2.967,2.376,1.374,1.156,1.612,0.333,0.263,0.393,2.497,2.225,2.734,0.461,0.311,0.601
2003,2.189,2.967,2.376,1.374,1.156,1.612,0.321,0.255,0.384,2.497,2.225,2.734,0.461,0.311,0.601
2004,2.189,2.967,2.376,1.374,1.156,1.612,0.323,0.26,0.389,2.497,2.225,2.734,0.461,0.311,0.601
2005,2.189,2.967,2.376,1.374,1.156,1.612,0.358,0.313,0.439,2.497,2.225,2.734,0.461,0.311,0.601
2006,2.189,2.967,2.376,1.374,1.156,1.612,0.369,0.31,0.437,2.497,2.225,2.734,0.466,0.302,0.595
2007,2.189,2.967,2.376,1.374,1.156,1.612,0.376,0.308,0.439,2.497,2.225,2.734,0.454,0.313,0.604
2008,2.189,2.967,2.376,1.374,1.156,1.612,0.373,0.305,0.438,2.559,2.268,2.789,0.454,0.313,0.604
2009,2.189,2.967,2.376,1.374,1.156,1.612,0.372,0.308,0.442,2.559,2.268,2.789,0.454,0.313,0.604
2010,2.189,3.162,2.376,1.374,1.156,1.612,0.451,0.391,0.524,3.098,2.817,3.42,0.458,0.308,0.598
2011,2.256,3.22,2.473,1.374,1.156,1.612,0.519,0.443,0.577,3.359,3.057,3.68,0.454,0.313,0.603
2012,2.256,3.22,2.473,1.374,1.156,1.612,0.521,0.452,0.591,3.359,3.057,3.68,0.454,0.313,0.603
2013,2.272,2.958,2.484,1.374,1.156,1.612,0.538,0.465,0.6,3.453,3.146,3.793,0.454,0.313,0.603
2014,2.272,2.958,2.484,1.374,1.156,1.612,0.554,0.492,0.623,3.453,3.146,3.793,0.454,0.313,0.603
2015,2.272,2.898,2.484,1.374,1.156,1.612,0.563,0.5,0.636,3.453,3.146,3.793,0.454,0.313,0.603
2016,2.272,2.898,2.484,1.374,1.156,1.612,0.564,0.5,0.633,3.734,3.402,4.105,0.459,0.309,0.594
2017,2.214,2.734,2.422,1.374,1.156,1.612,0.553,0.484,0.62,3.764,3.391,4.118,0.459,0.309,0.594
2018,2.261,2.563,2.48,1.374,1.156,1.612,0.492,0.413,0.56,3.384,3.018,3.869,0.464,0.324,0.614
2019,2.321,2.006,2.532,1.35,1.105,1.572,0.44,0.378,0.517,2.938,2.481,3.367,0.464,0.324,0.614
2020,2.304,1.757,2.533,1.197,0.992,1.43,0.406,0.328,0.476,2.555,2.105,3.008,0.496,0.351,0.643
2021,2.304,1.962,2.533,1.191,0.976,1.411,0.417,0.348,0.497,2.732,2.213,3.115,0.496,0.345,0.629
2022,2.43,2.75,2.693,1.191,0.976,1.411,0.537,0.464,0.61,3.081,2.661,3.573,0.509,0.36,0.649
