Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,3.732,3.984,3.997,2.449,2.09,2.743,0.842,0.798,0.897,4.395,4.119,4.884,0.187,0.112,0.292
2000,3.732,3.984,3.997,2.913,2.568,3.224,0.846,0.803,0.899,4.543,4.326,4.955,0.093,0.046,0.173
2001,3.732,3.984,3.997,2.913,2.568,3.224,0.846,0.803,0.899,4.543,4.326,4.955,0.093,0.046,0.173
2002,3.732,3.984,3.997,2.913,2.568,3.224,0.85,0.816,0.905,4.285,3.962,4.57,0.093,0.046,0.173
2003,3.732,3.984,3.997,2.913,2.568,3.224,0.85,0.817,0.906,4.285,3.962,4.57,0.093,0.046,0.173
2004,3.732,3.984,3.997,2.913,2.568,3.224,0.849,0.809,0.897,4.285,3.962,4.57,0.093,0.046,0.173
2005,3.57,3.984,3.761,2.913,2.568,3.224,0.849,0.809,0.897,4.285,3.962,4.57,0.093,0.046,0.173
2006,3.57,3.984,3.761,2.913,2.568,3.224,0.862,0.821,0.903,4.531,4.314,4.815,0.093,0.046,0.173
2007,3.57,3.984,3.761,2.913,2.568,3.224,0.869,0.833,0.913,4.552,4.345,4.834,0.093,0.046,0.173
2008,3.57,3.984,3.761,2.913,2.568,3.224,0.862,0.82,0.902,4.327,4.073,4.643,0.093,0.046,0.173
2009,3.57,3.984,3.761,2.913,2.568,3.224,0.862,0.82,0.902,4.327,4.073,4.643,0.092,0.048,0.168
2010,3.57,3.984,3.761,2.913,2.568,3.224,0.866,0.831,0.911,4.327,4.073,4.643,0.079,0.042,0.164
2011,3.57,3.984,3.761,2.913,2.568,3.224,0.866,0.832,0.911,4.327,4.073,4.643,0.079,0.042,0.164
2012,3.637,3.984,3.842,2.913,2.568,3.224,0.867,0.832,0.91,4.327,4.073,4.643,0.079,0.042,0.164
2013,3.572,3.984,3.775,2.913,2.568,3.224,0.862,0.828,0.909,4.327,4.073,4.643,0.079,0.038,0.145
2014,3.572,3.984,3.775,2.913,2.568,3.224,0.863,0.827,0.909,4.253,3.99,4.573,0.082,0.039,0.148
2015,3.572,3.934,3.775,2.913,2.568,3.224,0.856,0.822,0.902,4.053,3.723,4.378,0.082,0.039,0.148
2016,3.572,3.934,3.775,2.913,2.568,3.224,0.847,0.811,0.902,4.053,3.723,4.378,0.082,0.039,0.148
2017,3.572,3.821,3.775,2.913,2.568,3.224,0.851,0.808,0.894,3.96,3.644,4.339,0.082,0.039,0.148
2018,3.572,3.821,3.775,2.913,2.568,3.224,0.835,0.793,0.884,3.872,3.519,4.285,0.082,0.039,0.148
2019,3.572,3.821,3.775,2.913,2.568,3.224,0.845,0.806,0.898,3.872,3.519,4.285,0.082,0.039,0.148
2020,3.572,3.821,3.775,2.913,2.568,3.224,0.851,0.817,0.905,4.042,3.709,4.419,0.082,0.039,0.148
2021,3.572,3.821,3.775,2.913,2.568,3.224,0.849,0.809,0.899,4.042,3.709,4.419,0.076,0.04,0.153
2022,3.572,3.821,3.775,3.008,2.648,3.399,0.821,0.772,0.869,4.042,3.709,4.419,0.057,0.025,0.107
