Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,0.712,0.35,1.023,2.632,2.374,2.878,0.058,0.031,0.077,0.374,0.106,0.577,0.089,0.046,0.164
2000,0.712,0.35,1.023,2.632,2.374,2.878,0.058,0.035,0.082,0.374,0.106,0.577,0.089,0.046,0.164
2001,0.712,0.35,1.023,2.632,2.374,2.878,0.058,0.035,0.082,0.374,0.106,0.577,0.089,0.046,0.164
2002,0.712,0.35,1.023,2.632,2.374,2.878,0.058,0.035,0.082,0.374,0.106,0.577,0.089,0.046,0.164
2003,0.712,0.35,1.023,2.632,2.374,2.878,0.058,0.031,0.077,0.374,0.106,0.577,0.089,0.046,0.164
2004,0.712,0.35,1.023,2.632,2.374,2.878,0.058,0.031,0.077,0.374,0.106,0.577,0.089,0.046,0.164
2005,0.712,0.29,1.023,2.632,2.374,2.878,0.058,0.032,0.079,0.374,0.106,0.577,0.089,0.046,0.164
2006,0.712,0.29,1.023,2.632,2.374,2.878,0.058,0.032,0.078,0.374,0.106,0.577,0.089,0.046,0.164
2007,0.712,0.29,1.023,2.632,2.374,2.878,0.07,0.037,0.091,0.816,0.436,1.063,0.089,0.046,0.164
2008,0.712,0.29,1.023,2.632,2.374,2.878,0.076,0.04,0.096,0.816,0.436,1.063,0.089,0.046,0.164
2009,0.712,0.29,1.023,2.632,2.374,2.878,0.088,0.051,0.11,0.816,0.436,1.063,0.089,0.046,0.164
2010,0.712,0.29,1.023,2.864,2.62,3.149,0.088,0.051,0.11,0.816,0.436,1.063,0.1,0.053,0.178
2011,0.712,0.29,1.023,2.864,2.62,3.149,0.088,0.051,0.11,0.816,0.436,1.063,0.1,0.053,0.178
2012,0.712,0.29,1.023,2.864,2.62,3.149,0.091,0.059,0.118,0.816,0.436,1.063,0.1,0.053,0.178
2013,0.838,0.668,1.122,2.864,2.62,3.149,0.091,0.059,0.116,0.637,0.322,0.931,0.098,0.051,0.175
2014,0.838,0.668,1.122,2.864,2.62,3.149,0.091,0.059,0.116,0.637,0.322,0.931,0.098,0.051,0.175
2015,0.838,0.656,1.122,2.864,2.62,3.149,0.09,0.059,0.116,0.637,0.322,0.931,0.098,0.051,0.175
2016,0.864,0.64,1.176,2.864,2.62,3.149,0.084,0.053,0.11,0.637,0.322,0.931,0.098,0.051,0.175
2017,0.838,0.555,1.164,2.864,2.62,3.149,0.084,0.053,0.11,0.637,0.322,0.931,0.098,0.051,0.175
2018,0.838,1.076,1.164,2.864,2.62,3.149,0.103,0.068,0.13,0.889,0.516,1.186,0.098,0.051,0.175
2019,0.915,1.064,1.207,3.119,2.856,3.423,0.101,0.067,0.13,0.889,0.516,1.186,0.094,0.044,0.166
2020,0.892,0.553,1.233,3.119,2.856,3.423,0.104,0.072,0.136,0.889,0.516,1.186,0.094,0.044,0.166
2021,0.721,0.553,1.052,3.171,2.846,3.492,0.099,0.068,0.134,0.889,0.516,1.186,0.093,0.054,0.183
2022,0.721,0.553,1.052,3.117,2.802,3.442,0.098,0.06,0.121,1.028,0.639,1.327,0.091,0.045,0.161
