Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.152,3.691,2.367,1.502,1.133,1.829,0.425,0.344,0.506,2.682,2.346,3.009,0.475,0.355,0.614
2000,2.152,3.691,2.367,1.502,1.133,1.829,0.454,0.371,0.537,3.091,2.702,3.409,0.379,0.266,0.505
2001,2.152,3.691,2.367,1.502,1.133,1.829,0.454,0.371,0.537,3.091,2.702,3.409,0.379,0.266,0.505
2002,2.152,3.691,2.367,1.502,1.133,1.829,0.443,0.372,0.529,2.685,2.366,3.048,0.379,0.266,0.505
2003,2.152,3.691,2.367,1.502,1.133,1.829,0.4,0.31,0.469,2.685,2.366,3.048,0.379,0.266,0.505
2004,2.152,3.691,2.367,1.502,1.133,1.829,0.4,0.31,0.469,2.685,2.366,3.048,0.379,0.266,0.505
2005,2.152,3.691,2.367,1.502,1.133,1.829,0.401,0.335,0.489,2.81,2.464,3.163,0.379,0.266,0.505
2006,2.152,3.691,2.367,1.502,1.133,1.829,0.42,0.343,0.503,3.348,2.973,3.708,0.379,0.266,0.505
2007,2.23,3.66,2.464,1.668,1.291,2.022,0.529,0.465,0.602,3.682,3.25,4.049,0.318,0.208,0.434
2008,2.307,3.578,2.562,1.902,1.481,2.252,0.491,0.429,0.563,3.468,3.042,3.822,0.284,0.183,0.407
2009,2.307,3.719,2.562,2.055,1.62,2.433,0.45,0.379,0.519,3.183,2.809,3.516,0.274,0.184,0.402
2010,2.307,3.673,2.562,2.251,1.809,2.642,0.419,0.347,0.48,3.183,2.809,3.516,0.275,0.18,0.398
2011,2.307,3.673,2.562,2.251,1.809,2.642,0.419,0.359,0.488,3.183,2.809,3.516,0.26,0.17,0.376
2012,2.307,3.673,2.562,2.251,1.809,2.642,0.402,0.329,0.461,2.906,2.542,3.24,0.26,0.17,0.376
2013,2.307,3.673,2.562,2.251,1.809,2.642,0.364,0.302,0.428,2.906,2.542,3.24,0.26,0.17,0.376
2014,2.307,3.673,2.562,2.251,1.809,2.642,0.35,0.29,0.415,2.838,2.458,3.201,0.26,0.17,0.376
2015,2.307,3.673,2.562,2.251,1.809,2.642,0.347,0.291,0.415,2.838,2.458,3.201,0.26,0.17,0.376
2016,2.307,3.713,2.562,2.251,1.809,2.642,0.354,0.297,0.427,2.838,2.458,3.201,0.261,0.168,0.383
2017,2.307,3.751,2.562,2.251,1.809,2.642,0.448,0.39,0.512,3.699,3.247,4.168,0.261,0.167,0.374
2018,2.307,3.881,2.562,2.251,1.809,2.642,0.494,0.425,0.566,3.644,3.174,4.079,0.261,0.167,0.374
2019,2.307,3.881,2.562,2.063,1.631,2.448,0.458,0.396,0.54,3.787,3.343,4.245,0.261,0.167,0.374
2020,2.307,3.881,2.562,2.004,1.583,2.366,0.447,0.364,0.505,3.159,2.728,3.602,0.276,0.182,0.404
2021,2.452,3.887,2.727,1.939,1.479,2.266,0.461,0.392,0.531,3.733,3.229,4.296,0.27,0.169,0.378
2022,2.452,3.792,2.727,1.782,1.324,2.11,0.461,0.381,0.537,3.733,3.229,4.296,0.354,0.243,0.48
