Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,1.461,3.594,1.679,1.064,0.82,1.254,0.336,0.266,0.383,2.25,2.019,2.478,0.692,0.578,0.794
2000,1.461,3.594,1.679,1.064,0.82,1.254,0.328,0.266,0.387,2.25,2.019,2.478,0.692,0.578,0.794
2001,1.461,3.594,1.679,1.064,0.82,1.254,0.333,0.268,0.39,2.25,2.019,2.478,0.692,0.578,0.794
2002,1.461,3.594,1.679,1.064,0.82,1.254,0.35,0.284,0.414,2.25,2.019,2.478,0.692,0.578,0.794
2003,1.461,3.594,1.679,1.064,0.82,1.254,0.35,0.274,0.403,2.25,2.019,2.478,0.692,0.578,0.794
2004,1.461,3.594,1.679,1.064,0.82,1.254,0.35,0.281,0.408,2.25,2.019,2.478,0.692,0.578,0.794
2005,1.461,3.594,1.679,1.064,0.82,1.254,0.348,0.285,0.413,2.25,2.019,2.478,0.692,0.578,0.794
2006,1.461,3.671,1.679,1.064,0.82,1.254,0.36,0.285,0.415,2.25,2.019,2.478,0.692,0.578,0.794
2007,1.461,3.671,1.679,1.064,0.82,1.254,0.363,0.285,0.416,2.25,2.019,2.478,0.692,0.578,0.794
2008,1.461,3.671,1.679,1.064,0.82,1.254,0.361,0.295,0.421,2.25,2.019,2.478,0.692,0.578,0.794
2009,1.461,3.671,1.679,1.064,0.82,1.254,0.45,0.378,0.513,2.636,2.388,2.88,0.676,0.572,0.784
2010,1.461,3.671,1.679,1.064,0.82,1.254,0.461,0.405,0.537,2.689,2.44,2.924,0.676,0.572,0.784
2011,1.461,3.671,1.679,1.064,0.82,1.254,0.452,0.378,0.513,2.689,2.44,2.924,0.662,0.538,0.766
2012,1.461,3.671,1.679,1.064,0.82,1.254,0.457,0.397,0.53,2.689,2.44,2.924,0.662,0.538,0.766
2013,1.461,3.671,1.679,1.064,0.82,1.254,0.434,0.368,0.506,2.481,2.26,2.733,0.662,0.538,0.766
2014,1.461,3.671,1.679,1.064,0.82,1.254,0.468,0.393,0.542,2.481,2.26,2.733,0.662,0.538,0.766
2015,1.461,3.671,1.679,1.064,0.82,1.254,0.468,0.397,0.547,2.426,2.181,2.654,0.662,0.538,0.766
2016,1.461,3.671,1.679,1.064,0.82,1.254,0.455,0.38,0.533,2.426,2.181,2.654,0.662,0.538,0.766
2017,1.461,3.671,1.679,1.064,0.82,1.254,0.453,0.392,0.534,2.426,2.181,2.654,0.662,0.538,0.766
2018,1.461,2.798,1.679,1.064,0.82,1.254,0.422,0.354,0.494,2.426,2.181,2.654,0.681,0.558,0.781
2019,1.461,3.283,1.679,1.064,0.82,1.254,0.318,0.254,0.391,1.293,0.954,1.652,0.712,0.604,0.812
2020,1.461,2.512,1.679,1.064,0.82,1.254,0.254,0.195,0.314,1.097,0.737,1.472,0.712,0.604,0.812
2021,1.558,2.055,1.916,1.064,0.82,1.254,0.205,0.15,0.256,0.947,0.6,1.335,0.719,0.605,0.827
2022,1.558,2.055,1.916,1.064,0.82,1.254,0.149,0.106,0.19,null,null,null,0.817,0.722,0.895
