Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,1.023,1.438,1.31,0.692,0.456,0.898,0.385,0.32,0.439,2.821,2.558,3.082,0.638,0.51,0.755
2000,1.379,2.532,1.532,0.692,0.456,0.898,0.38,0.305,0.439,2.821,2.558,3.082,0.601,0.471,0.732
2001,1.379,2.532,1.532,0.692,0.456,0.898,0.38,0.305,0.439,2.821,2.558,3.082,0.601,0.471,0.732
2002,1.379,2.532,1.532,0.692,0.456,0.898,0.38,0.305,0.439,2.821,2.558,3.082,0.601,0.471,0.732
2003,1.379,2.532,1.532,0.692,0.456,0.898,0.381,0.307,0.442,2.821,2.558,3.082,0.601,0.471,0.732
2004,1.379,2.532,1.532,0.692,0.456,0.898,0.391,0.322,0.459,2.821,2.558,3.082,0.601,0.471,0.732
2005,1.379,2.532,1.532,0.692,0.456,0.898,0.391,0.322,0.459,2.821,2.558,3.082,0.583,0.454,0.713
2006,1.379,2.532,1.532,0.692,0.456,0.898,0.391,0.322,0.459,2.821,2.558,3.082,0.583,0.454,0.713
2007,1.379,2.532,1.532,0.692,0.456,0.898,0.393,0.33,0.464,2.821,2.558,3.082,0.583,0.454,0.713
2008,1.379,2.532,1.532,0.692,0.456,0.898,0.402,0.331,0.467,2.821,2.558,3.082,0.582,0.456,0.702
2009,1.379,2.532,1.532,0.692,0.456,0.898,0.403,0.332,0.467,2.821,2.558,3.082,0.582,0.456,0.702
2010,1.379,2.532,1.532,0.692,0.456,0.898,0.401,0.332,0.465,2.766,2.489,2.991,0.582,0.456,0.702
2011,1.379,2.532,1.532,0.692,0.456,0.898,0.396,0.33,0.461,2.766,2.489,2.991,0.566,0.417,0.681
2012,1.421,2.532,1.589,0.692,0.456,0.898,0.375,0.31,0.445,2.676,2.441,2.933,0.566,0.417,0.681
2013,1.421,2.532,1.589,0.692,0.456,0.898,0.374,0.302,0.439,2.676,2.441,2.933,0.555,0.432,0.69
2014,1.421,2.532,1.589,0.692,0.456,0.898,0.377,0.306,0.44,2.676,2.441,2.933,0.557,0.435,0.692
2015,1.551,2.586,1.727,0.692,0.456,0.898,0.391,0.329,0.463,2.794,2.511,3.047,0.557,0.435,0.692
2016,1.551,2.586,1.727,0.692,0.456,0.898,0.394,0.328,0.474,2.626,2.336,2.855,0.557,0.435,0.692
2017,1.551,2.952,1.727,0.692,0.456,0.898,0.387,0.315,0.454,2.713,2.404,2.967,0.545,0.417,0.672
2018,1.433,2.851,1.65,0.692,0.456,0.898,0.302,0.229,0.36,2.181,1.935,2.408,0.561,0.436,0.678
2019,1.433,2.851,1.65,0.692,0.456,0.898,0.313,0.248,0.376,2.543,2.178,2.888,0.581,0.443,0.702
2020,1.433,2.851,1.65,0.692,0.456,0.898,0.299,0.237,0.362,2.543,2.178,2.888,0.598,0.47,0.73
2021,1.433,2.951,1.65,0.692,0.456,0.898,0.264,0.199,0.325,2.281,1.928,2.624,0.57,0.439,0.7
2022,1.433,2.818,1.65,0.692,0.456,0.898,0.239,0.17,0.283,2.281,1.928,2.624,0.602,0.463,0.717
