Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.564,3.244,2.742,1.464,1.212,1.742,0.238,0.177,0.296,1.856,1.225,2.445,0.418,0.288,0.551
2000,2.564,3.244,2.742,1.464,1.212,1.742,0.26,0.194,0.309,2.599,2.155,3.037,0.404,0.287,0.534
2001,2.564,3.244,2.742,1.464,1.212,1.742,0.32,0.253,0.381,2.599,2.155,3.037,0.404,0.287,0.534
2002,2.564,3.244,2.742,1.464,1.212,1.742,0.326,0.255,0.387,2.599,2.155,3.037,0.404,0.287,0.534
2003,2.564,3.244,2.742,1.464,1.212,1.742,0.339,0.267,0.404,2.599,2.155,3.037,0.404,0.287,0.534
2004,2.564,3.244,2.742,1.464,1.212,1.742,0.339,0.267,0.404,2.599,2.155,3.037,0.381,0.258,0.497
2005,2.564,3.244,2.742,1.464,1.212,1.742,0.339,0.267,0.404,2.599,2.155,3.037,0.381,0.258,0.497
2006,2.564,3.244,2.742,1.464,1.212,1.742,0.337,0.265,0.4,2.599,2.155,3.037,0.381,0.258,0.497
2007,2.564,3.244,2.742,1.464,1.212,1.742,0.34,0.282,0.416,2.657,2.161,3.046,0.381,0.258,0.497
2008,2.564,3.244,2.742,1.464,1.212,1.742,0.34,0.276,0.412,2.657,2.161,3.046,0.381,0.258,0.497
2009,2.564,3.207,2.742,1.464,1.212,1.742,0.341,0.278,0.414,2.657,2.161,3.046,0.381,0.258,0.497
2010,2.564,3.243,2.742,1.464,1.212,1.742,0.332,0.266,0.404,2.551,2.115,3,0.339,0.233,0.455
2011,2.564,3.243,2.742,1.464,1.212,1.742,0.332,0.262,0.404,2.551,2.115,3,0.341,0.24,0.479
2012,2.564,3.243,2.742,1.464,1.212,1.742,0.356,0.287,0.416,2.551,2.115,3,0.341,0.24,0.479
2013,2.564,3.359,2.742,1.464,1.212,1.742,0.369,0.307,0.445,2.551,2.115,3,0.341,0.24,0.479
2014,2.564,3.359,2.742,1.464,1.212,1.742,0.366,0.299,0.439,2.551,2.115,3,0.341,0.24,0.479
2015,2.857,3.722,3.047,1.464,1.212,1.742,0.393,0.313,0.46,2.338,1.911,2.742,0.341,0.24,0.479
2016,2.962,3.885,3.164,1.464,1.212,1.742,0.409,0.329,0.484,2.338,1.911,2.742,0.325,0.217,0.44
2017,2.962,3.797,3.164,1.464,1.212,1.742,0.432,0.352,0.505,2.338,1.911,2.742,0.325,0.217,0.44
2018,2.899,3.72,3.185,1.464,1.212,1.742,0.478,0.395,0.558,2.268,1.793,2.701,0.333,0.238,0.466
2019,2.899,3.699,3.185,1.74,1.432,2.012,0.478,0.406,0.556,2.798,2.393,3.308,0.278,0.165,0.384
2020,2.792,3.699,3.076,1.74,1.432,2.012,0.38,0.308,0.448,2.451,2.032,2.936,0.316,0.207,0.428
2021,2.554,3.465,2.795,1.74,1.432,2.012,0.265,0.209,0.331,1.735,1.301,2.213,0.291,0.195,0.427
2022,2.554,3.317,2.795,1.74,1.432,2.012,0.26,0.19,0.311,1.735,1.301,2.213,0.282,0.168,0.389
