Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,1.372,2.786,1.592,1.365,1.064,1.634,0.452,0.383,0.512,3.425,2.9,3.915,0.583,0.436,0.706
2000,1.372,2.786,1.592,1.365,1.064,1.634,0.43,0.365,0.496,3.425,2.9,3.915,0.434,0.315,0.575
2001,1.372,2.786,1.592,1.365,1.064,1.634,0.431,0.366,0.498,3.425,2.9,3.915,0.434,0.315,0.575
2002,1.372,2.786,1.592,1.365,1.064,1.634,0.412,0.342,0.481,2.969,2.574,3.367,0.434,0.315,0.575
2003,1.372,2.786,1.592,1.365,1.064,1.634,0.419,0.363,0.498,2.969,2.574,3.367,0.434,0.315,0.575
2004,1.372,2.786,1.592,1.365,1.064,1.634,0.419,0.363,0.498,2.969,2.574,3.367,0.434,0.315,0.575
2005,1.372,2.786,1.592,1.091,0.832,1.364,0.416,0.359,0.493,2.969,2.574,3.367,0.434,0.315,0.575
2006,1.372,2.811,1.592,1.343,1.075,1.596,0.428,0.37,0.484,3.642,3.226,4.042,0.42,0.29,0.54
2007,1.372,2.811,1.592,1.343,1.075,1.596,0.421,0.361,0.481,3.703,3.322,4.117,0.42,0.29,0.54
2008,1.372,2.811,1.592,1.343,1.075,1.596,0.408,0.349,0.473,3.703,3.322,4.117,0.42,0.29,0.54
2009,1.266,2.431,1.473,1.343,1.075,1.596,0.267,0.207,0.32,2.902,2.481,3.308,0.449,0.312,0.571
2010,1.214,2.875,1.498,1.343,1.075,1.596,0.329,0.278,0.378,3.253,2.847,3.649,0.444,0.322,0.57
2011,1.254,2.943,1.501,1.343,1.075,1.596,0.317,0.26,0.363,2.987,2.638,3.419,0.429,0.307,0.567
2012,1.254,2.973,1.501,1.343,1.075,1.596,0.305,0.253,0.36,2.987,2.638,3.419,0.429,0.307,0.567
2013,1.254,2.973,1.501,1.343,1.075,1.596,0.297,0.249,0.358,2.879,2.473,3.257,0.429,0.307,0.567
2014,1.254,2.973,1.501,1.343,1.075,1.596,0.296,0.234,0.349,2.781,2.368,3.158,0.438,0.332,0.585
2015,1.254,2.973,1.501,1.343,1.075,1.596,0.294,0.238,0.353,2.781,2.368,3.158,0.438,0.332,0.585
2016,1.297,2.973,1.594,1.343,1.075,1.596,0.294,0.24,0.353,2.781,2.368,3.158,0.438,0.332,0.585
2017,1.344,3.406,1.612,1.343,1.075,1.596,0.281,0.226,0.335,2.59,2.159,2.993,0.438,0.332,0.585
2018,1.344,3.406,1.612,1.343,1.075,1.596,0.263,0.214,0.311,2.64,2.233,3.074,0.438,0.332,0.585
2019,1.344,3.406,1.612,1.343,1.075,1.596,0.263,0.214,0.31,2.571,2.165,2.967,0.436,0.313,0.571
2020,1.344,3.406,1.612,1.343,1.075,1.596,0.258,0.215,0.316,2.571,2.165,2.967,0.445,0.327,0.581
2021,1.344,3.538,1.612,1.587,1.232,1.938,0.279,0.231,0.337,2.571,2.165,2.967,0.394,0.272,0.513
2022,1.949,3.538,2.402,1.587,1.232,1.938,0.377,0.297,0.438,3.2,2.757,3.748,0.332,0.225,0.472
