Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.667,3.518,2.909,2.974,2.603,3.336,0.54,0.472,0.63,2.849,2.455,3.173,0.066,0.03,0.127
2000,2.667,3.518,2.909,2.974,2.603,3.336,0.554,0.467,0.628,3.21,2.748,3.593,0.066,0.03,0.127
2001,2.667,3.518,2.909,2.974,2.603,3.336,0.554,0.467,0.628,3.21,2.748,3.593,0.066,0.03,0.127
2002,2.667,3.518,2.909,2.974,2.603,3.336,0.57,0.491,0.645,3.21,2.748,3.593,0.066,0.03,0.127
2003,2.667,3.518,2.909,2.974,2.603,3.336,0.604,0.528,0.684,3.21,2.748,3.593,0.066,0.03,0.127
2004,2.667,3.518,2.909,2.974,2.603,3.336,0.604,0.528,0.684,3.21,2.748,3.593,0.066,0.03,0.127
2005,2.667,3.518,2.909,2.974,2.603,3.336,0.618,0.553,0.7,3.061,2.757,3.37,0.066,0.03,0.127
2006,2.667,3.518,2.909,2.974,2.603,3.336,0.621,0.549,0.698,3.061,2.757,3.37,0.063,0.027,0.116
2007,2.667,3.518,2.909,2.974,2.603,3.336,0.628,0.56,0.706,3.061,2.757,3.37,0.063,0.027,0.116
2008,2.667,3.518,2.909,2.974,2.603,3.336,0.641,0.581,0.723,3.061,2.757,3.37,0.063,0.027,0.116
2009,2.667,3.518,2.909,2.974,2.603,3.336,0.641,0.581,0.723,3.061,2.757,3.37,0.063,0.027,0.116
2010,2.667,3.518,2.909,3.186,2.787,3.528,0.649,0.581,0.72,3.061,2.757,3.37,0.063,0.027,0.116
2011,2.741,3.518,2.977,3.186,2.787,3.528,0.643,0.587,0.731,3.061,2.757,3.37,0.063,0.027,0.116
2012,2.741,3.518,2.977,3.186,2.787,3.528,0.648,0.586,0.729,3.061,2.757,3.37,0.063,0.027,0.116
2013,2.741,3.764,2.977,3.186,2.787,3.528,0.686,0.623,0.766,3.061,2.757,3.37,0.064,0.029,0.124
2014,2.741,3.764,2.977,3.186,2.787,3.528,0.695,0.628,0.766,3.591,3.161,4.018,0.064,0.029,0.124
2015,2.741,3.764,2.977,3.186,2.787,3.528,0.695,0.628,0.766,3.591,3.161,4.018,0.064,0.029,0.124
2016,2.741,3.764,2.977,3.186,2.787,3.528,0.701,0.643,0.778,3.591,3.161,4.018,0.064,0.029,0.124
2017,2.741,3.764,2.977,3.186,2.787,3.528,0.703,0.644,0.782,3.991,3.553,4.422,0.061,0.027,0.113
2018,2.741,3.557,2.977,3.186,2.787,3.528,0.693,0.629,0.771,3.991,3.553,4.422,0.061,0.027,0.113
2019,3.065,3.766,3.317,3.186,2.787,3.528,0.699,0.632,0.766,3.991,3.553,4.422,0.061,0.027,0.113
2020,3.065,3.873,3.317,3.186,2.787,3.528,0.68,0.617,0.759,2.999,2.531,3.274,0.062,0.025,0.113
2021,3.223,3.873,3.538,3.186,2.787,3.528,0.639,0.561,0.711,3.203,2.774,3.567,0.054,0.024,0.106
2022,3.299,3.873,3.622,2.866,2.539,3.233,0.678,0.603,0.742,3.428,2.987,3.819,0.054,0.024,0.106
