Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,1.717,2.715,1.864,1.397,1.168,1.627,0.416,0.338,0.479,2.544,2.251,2.848,0.65,0.515,0.75
2000,1.717,2.861,1.864,1.397,1.168,1.627,0.476,0.403,0.547,2.544,2.251,2.848,0.572,0.439,0.68
2001,1.717,2.861,1.864,1.397,1.168,1.627,0.548,0.489,0.612,2.842,2.539,3.148,0.57,0.455,0.686
2002,1.717,2.861,1.864,1.397,1.168,1.627,0.556,0.493,0.62,2.842,2.539,3.148,0.543,0.417,0.653
2003,1.717,2.861,1.864,1.397,1.168,1.627,0.562,0.495,0.627,2.842,2.539,3.148,0.543,0.417,0.653
2004,1.717,2.861,1.864,1.397,1.168,1.627,0.57,0.498,0.634,2.842,2.539,3.148,0.543,0.417,0.653
2005,1.717,2.861,1.864,1.397,1.168,1.627,0.57,0.508,0.642,2.989,2.739,3.254,0.543,0.417,0.653
2006,1.717,2.811,1.864,1.397,1.168,1.627,0.544,0.47,0.597,2.989,2.739,3.254,0.528,0.402,0.649
2007,1.717,2.811,1.864,1.397,1.168,1.627,0.536,0.472,0.602,3.167,2.876,3.421,0.537,0.398,0.639
2008,1.717,2.811,1.864,1.397,1.168,1.627,0.532,0.461,0.588,3.167,2.876,3.421,0.537,0.398,0.639
2009,1.717,2.811,1.864,1.397,1.168,1.627,0.529,0.458,0.585,3.167,2.876,3.421,0.537,0.398,0.639
2010,1.717,2.811,1.864,1.397,1.168,1.627,0.537,0.466,0.593,3.167,2.876,3.421,0.525,0.42,0.659
2011,1.717,2.811,1.864,1.397,1.168,1.627,0.536,0.46,0.588,3.167,2.876,3.421,0.525,0.42,0.659
2012,1.717,2.811,1.864,1.397,1.168,1.627,0.54,0.48,0.603,3.167,2.876,3.421,0.525,0.42,0.659
2013,1.731,2.959,1.892,1.397,1.168,1.627,0.49,0.432,0.561,2.794,2.457,3.118,0.52,0.392,0.639
2014,1.731,2.959,1.892,1.397,1.168,1.627,0.488,0.427,0.556,2.794,2.457,3.118,0.52,0.392,0.639
2015,1.731,2.959,1.892,1.397,1.168,1.627,0.488,0.419,0.555,2.794,2.457,3.118,0.52,0.392,0.639
2016,1.731,2.959,1.892,1.397,1.168,1.627,0.486,0.417,0.553,2.794,2.457,3.118,0.52,0.392,0.639
2017,1.731,2.976,1.892,1.397,1.168,1.627,0.474,0.398,0.531,2.78,2.392,3.183,0.524,0.391,0.634
2018,1.602,3.303,1.794,1.397,1.168,1.627,0.467,0.39,0.535,2.838,2.471,3.363,0.522,0.393,0.633
2019,1.602,3.303,1.794,1.397,1.168,1.627,0.403,0.318,0.472,2.921,2.395,3.415,0.498,0.367,0.609
2020,1.602,3.014,1.794,1.397,1.168,1.627,0.384,0.316,0.462,2.741,2.155,3.157,0.498,0.367,0.609
2021,1.602,3.014,1.794,1.397,1.168,1.627,0.379,0.303,0.45,2.915,2.42,3.41,0.498,0.367,0.609
2022,1.602,3.014,1.794,1.397,1.168,1.627,0.358,0.292,0.433,2.915,2.42,3.41,0.545,0.416,0.669
