Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,1.864,3.349,2.105,0.935,0.602,1.244,0.457,0.39,0.517,2.946,2.58,3.309,0.581,0.447,0.701
2000,1.864,3.349,2.105,0.935,0.602,1.244,0.453,0.386,0.515,2.946,2.58,3.309,0.581,0.447,0.701
2001,1.864,3.349,2.105,0.935,0.602,1.244,0.451,0.388,0.518,2.946,2.58,3.309,0.581,0.447,0.701
2002,1.864,3.349,2.105,0.935,0.602,1.244,0.491,0.427,0.555,2.922,2.573,3.188,0.581,0.447,0.701
2003,1.864,3.349,2.105,0.935,0.602,1.244,0.488,0.424,0.55,2.922,2.573,3.188,0.581,0.447,0.701
2004,1.864,3.349,2.105,0.935,0.602,1.244,0.488,0.424,0.55,2.922,2.573,3.188,0.581,0.447,0.701
2005,1.864,3.349,2.105,0.935,0.602,1.244,0.467,0.408,0.534,2.922,2.573,3.188,0.552,0.423,0.679
2006,1.811,3.349,2.052,0.935,0.602,1.244,0.435,0.37,0.496,2.981,2.651,3.279,0.552,0.423,0.679
2007,1.811,3.009,2.052,0.986,0.649,1.321,0.323,0.267,0.375,2.587,2.299,2.903,0.519,0.374,0.639
2008,1.811,2.841,2.052,0.986,0.649,1.321,0.319,0.255,0.362,2.587,2.299,2.903,0.519,0.374,0.639
2009,1.811,2.685,2.052,0.986,0.649,1.321,0.323,0.272,0.375,2.587,2.299,2.903,0.519,0.374,0.639
2010,1.811,2.685,2.052,0.986,0.649,1.321,0.305,0.255,0.359,2.324,2.016,2.605,0.514,0.382,0.651
2011,1.811,2.685,2.052,0.986,0.649,1.321,0.285,0.238,0.342,2.243,1.944,2.527,0.514,0.382,0.651
2012,1.811,2.685,2.052,0.986,0.649,1.321,0.271,0.222,0.309,2.337,2.019,2.611,0.514,0.382,0.651
2013,1.811,2.685,2.052,0.986,0.649,1.321,0.181,0.135,0.222,1.721,1.43,2.05,0.514,0.382,0.651
2014,1.811,2.685,2.052,0.986,0.649,1.321,0.18,0.13,0.216,1.721,1.43,2.05,0.514,0.382,0.651
2015,1.811,2.685,2.052,0.986,0.649,1.321,0.172,0.127,0.208,1.721,1.43,2.05,0.514,0.382,0.651
2016,1.811,2.701,2.052,0.986,0.649,1.321,0.156,0.111,0.192,1.62,1.306,1.923,0.514,0.382,0.651
2017,1.811,2.448,2.052,0.986,0.649,1.321,0.16,0.118,0.195,1.551,1.265,1.875,0.531,0.399,0.653
2018,1.036,1.087,1.301,0.986,0.649,1.321,0.03,0.023,0.035,0.079,0,0.141,0.539,0.381,0.659
2019,1.02,1.249,1.338,0.986,0.649,1.321,0.028,0.022,0.033,0.079,0,0.141,0.539,0.381,0.659
2020,1.02,0.838,1.338,1.358,0.84,1.772,0.03,0.023,0.037,0.19,0.001,0.288,0.603,0.467,0.739
2021,0.932,0.624,1.226,1.358,0.84,1.772,0.032,0.022,0.039,0.286,0.002,0.418,0.57,0.451,0.722
2022,0.659,0.42,0.989,1.358,0.84,1.772,0.028,0.018,0.034,0.286,0.002,0.418,0.585,0.454,0.717
