Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.339,3.682,2.751,2.402,2.054,2.77,0.58,0.511,0.661,3.668,3.165,4.252,0.312,0.2,0.434
2000,2.339,3.682,2.751,2.402,2.054,2.77,0.628,0.563,0.702,3.668,3.165,4.252,0.267,0.16,0.376
2001,2.339,3.682,2.751,2.402,2.054,2.77,0.635,0.559,0.699,3.668,3.165,4.252,0.267,0.16,0.376
2002,2.339,3.682,2.751,2.402,2.054,2.77,0.635,0.559,0.699,3.668,3.165,4.252,0.267,0.16,0.376
2003,2.339,3.682,2.751,2.402,2.054,2.77,0.635,0.559,0.699,3.668,3.165,4.252,0.267,0.16,0.376
2004,2.652,3.682,3.062,2.41,2.041,2.752,0.641,0.573,0.706,3.668,3.165,4.252,0.242,0.145,0.352
2005,2.652,3.682,3.062,2.41,2.041,2.752,0.646,0.585,0.718,3.74,3.275,4.209,0.242,0.145,0.352
2006,2.652,3.682,3.062,2.41,2.041,2.752,0.646,0.587,0.715,3.74,3.275,4.209,0.242,0.145,0.352
2007,2.652,3.682,3.062,2.41,2.041,2.752,0.644,0.565,0.702,3.601,3.103,4.045,0.242,0.145,0.352
2008,2.652,3.682,3.062,2.41,2.041,2.752,0.644,0.565,0.702,3.601,3.103,4.045,0.242,0.145,0.352
2009,2.652,3.682,3.062,2.41,2.041,2.752,0.654,0.589,0.718,3.839,3.385,4.28,0.242,0.145,0.352
2010,2.652,3.682,3.062,2.554,2.194,2.913,0.648,0.585,0.71,3.619,3.159,4.114,0.23,0.136,0.334
2011,2.652,3.682,3.062,2.554,2.194,2.913,0.648,0.585,0.71,3.619,3.159,4.114,0.23,0.136,0.334
2012,2.652,3.682,3.062,2.554,2.194,2.913,0.648,0.585,0.71,3.619,3.159,4.114,0.23,0.136,0.334
2013,2.652,3.431,3.062,2.554,2.194,2.913,0.622,0.548,0.689,3.619,3.159,4.114,0.214,0.13,0.329
2014,2.652,3.431,3.062,2.554,2.194,2.913,0.617,0.554,0.693,3.619,3.159,4.114,0.214,0.13,0.329
2015,2.652,3.431,3.062,2.554,2.194,2.913,0.626,0.574,0.709,3.619,3.159,4.114,0.214,0.13,0.329
2016,2.652,3.431,3.062,2.554,2.194,2.913,0.626,0.574,0.709,3.619,3.159,4.114,0.214,0.13,0.329
2017,2.716,3.457,3.093,2.554,2.194,2.913,0.611,0.539,0.676,3.619,3.159,4.114,0.225,0.142,0.345
2018,2.716,3.412,3.093,2.554,2.194,2.913,0.606,0.538,0.675,3.619,3.159,4.114,0.225,0.142,0.345
2019,2.616,3.141,3.077,2.554,2.194,2.913,0.585,0.517,0.66,3.619,3.159,4.114,0.208,0.119,0.306
2020,2.616,3.141,3.077,2.554,2.194,2.913,0.566,0.492,0.636,3.619,3.159,4.114,0.233,0.134,0.341
2021,2.771,3.567,3.266,2.554,2.194,2.913,0.566,0.502,0.646,3.619,3.159,4.114,0.249,0.159,0.365
2022,2.914,3.567,3.301,2.438,2.001,2.822,0.56,0.493,0.642,3.619,3.159,4.114,0.244,0.151,0.364
