Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,2.298,3.241,2.623,0.975,0.742,1.192,0.278,0.213,0.333,2.188,1.894,2.45,0.597,0.438,0.715
2000,2.298,3.285,2.623,0.975,0.742,1.192,0.281,0.203,0.326,2.188,1.894,2.45,0.553,0.403,0.689
2001,2.298,3.285,2.623,0.975,0.742,1.192,0.281,0.203,0.326,2.188,1.894,2.45,0.553,0.403,0.689
2002,2.298,3.285,2.623,0.975,0.742,1.192,0.281,0.203,0.326,2.188,1.894,2.45,0.553,0.403,0.689
2003,2.298,3.285,2.623,0.975,0.742,1.192,0.308,0.23,0.359,2.188,1.894,2.45,0.553,0.403,0.689
2004,2.298,3.285,2.623,0.975,0.742,1.192,0.341,0.259,0.4,2.188,1.894,2.45,0.553,0.403,0.689
2005,2.298,3.285,2.623,0.975,0.742,1.192,0.341,0.259,0.4,2.188,1.894,2.45,0.553,0.403,0.689
2006,2.298,3.285,2.623,0.975,0.742,1.192,0.343,0.282,0.418,2.188,1.894,2.45,0.553,0.403,0.689
2007,2.298,3.285,2.623,0.975,0.742,1.192,0.343,0.282,0.418,2.188,1.894,2.45,0.553,0.403,0.689
2008,2.298,3.382,2.623,1.166,0.943,1.411,0.439,0.367,0.51,3.053,2.717,3.31,0.519,0.362,0.653
2009,2.298,3.512,2.623,1.166,0.943,1.411,0.454,0.39,0.53,3.028,2.726,3.326,0.519,0.362,0.653
2010,2.298,3.512,2.623,1.166,0.943,1.411,0.456,0.379,0.525,2.924,2.627,3.225,0.425,0.288,0.581
2011,2.298,3.512,2.623,1.166,0.943,1.411,0.432,0.349,0.495,2.821,2.543,3.126,0.425,0.288,0.581
2012,2.298,3.384,2.623,1.166,0.943,1.411,0.405,0.333,0.477,2.821,2.543,3.126,0.429,0.303,0.595
2013,2.07,3.283,2.4,0.98,0.764,1.216,0.323,0.249,0.378,2.37,2.06,2.629,0.456,0.304,0.586
2014,2.07,3.283,2.4,0.98,0.764,1.216,0.324,0.249,0.381,2.37,2.06,2.629,0.456,0.304,0.586
2015,2.345,3.283,2.769,0.98,0.764,1.216,0.322,0.262,0.396,2.438,2.134,2.723,0.456,0.304,0.586
2016,2.345,2.898,2.769,0.98,0.764,1.216,0.323,0.244,0.377,2.477,2.163,2.794,0.456,0.304,0.586
2017,2.044,3.159,2.423,0.98,0.764,1.216,0.324,0.251,0.38,2.477,2.163,2.794,0.456,0.304,0.586
2018,2.344,3.159,2.839,0.98,0.764,1.216,0.348,0.28,0.412,2.722,2.396,3.038,0.456,0.304,0.586
2019,2.344,3.159,2.839,1.005,0.772,1.227,0.37,0.303,0.435,2.722,2.396,3.038,0.459,0.317,0.604
2020,2.629,3.159,3.142,1.005,0.772,1.227,0.35,0.282,0.415,2.716,2.381,3.046,0.492,0.324,0.619
2021,2.349,3.159,2.834,1.005,0.772,1.227,0.35,0.282,0.415,2.716,2.381,3.046,0.483,0.327,0.624
2022,2.349,3.159,2.834,1.005,0.772,1.227,0.346,0.276,0.411,2.521,2.111,2.876,0.462,0.321,0.595
