Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,1.502,1.093,1.935,0.772,0.567,0.976,0.182,0.134,0.232,1.002,0.425,1.507,0.622,0.504,0.739
2000,1.836,1.637,2.412,1.137,0.928,1.336,0.334,0.283,0.397,2.957,2.33,3.655,0.502,0.371,0.624
2001,2.25,3.395,2.532,1.137,0.928,1.336,0.67,0.605,0.728,3.678,3.074,4.296,0.489,0.354,0.603
2002,2.25,3.395,2.532,1.137,0.928,1.336,0.728,0.663,0.788,3.678,3.074,4.296,0.475,0.346,0.586
2003,2.25,3.395,2.532,1.137,0.928,1.336,0.728,0.663,0.788,3.678,3.074,4.296,0.475,0.346,0.586
2004,2.25,3.395,2.532,1.137,0.928,1.336,0.675,0.614,0.755,3.326,2.964,3.668,0.475,0.346,0.586
2005,2.25,3.395,2.532,1.137,0.928,1.336,0.675,0.614,0.755,3.326,2.964,3.668,0.481,0.355,0.603
2006,2.25,3.395,2.532,1.137,0.928,1.336,0.67,0.607,0.742,3.291,2.903,3.587,0.481,0.355,0.603
2007,2.25,3.376,2.532,1.137,0.928,1.336,0.633,0.564,0.709,3.08,2.749,3.425,0.481,0.355,0.603
2008,2.25,3.376,2.532,1.137,0.928,1.336,0.636,0.569,0.713,3.08,2.749,3.425,0.481,0.355,0.603
2009,2.25,3.376,2.532,1.137,0.928,1.336,0.637,0.567,0.711,3.08,2.749,3.425,0.481,0.355,0.603
2010,2.25,3.376,2.532,1.174,0.961,1.382,0.639,0.564,0.709,3.08,2.749,3.425,0.457,0.334,0.575
2011,2.25,3.376,2.532,1.174,0.961,1.382,0.658,0.59,0.731,3.2,2.874,3.554,0.451,0.328,0.573
2012,2.25,3.428,2.532,1.174,0.961,1.382,0.656,0.572,0.714,3.2,2.874,3.554,0.441,0.317,0.561
2013,2.25,3.428,2.532,1.174,0.961,1.382,0.642,0.564,0.708,3.2,2.874,3.554,0.438,0.328,0.569
2014,2.25,3.428,2.532,1.174,0.961,1.382,0.643,0.577,0.727,3.2,2.874,3.554,0.438,0.328,0.569
2015,2.25,3.428,2.532,1.174,0.961,1.382,0.613,0.537,0.688,3.2,2.874,3.554,0.432,0.313,0.557
2016,2.25,3.428,2.532,1.174,0.961,1.382,0.604,0.539,0.685,3.2,2.874,3.554,0.432,0.313,0.557
2017,2.25,3.574,2.532,1.174,0.961,1.382,0.615,0.548,0.693,3.321,2.982,3.675,0.436,0.319,0.571
2018,2.25,3.574,2.532,1.174,0.961,1.382,0.607,0.535,0.691,3.321,2.982,3.675,0.436,0.319,0.571
2019,2.363,3.574,2.725,1.174,0.961,1.382,0.6,0.533,0.682,3.048,2.648,3.385,0.404,0.291,0.529
2020,2.101,3.574,2.525,0.982,0.78,1.201,0.612,0.542,0.701,3.048,2.648,3.385,0.392,0.289,0.531
2021,2.101,3.43,2.525,1.187,0.969,1.382,0.577,0.505,0.66,3.159,2.741,3.534,0.394,0.278,0.515
2022,2.101,3.459,2.525,1.187,0.969,1.382,0.444,0.338,0.504,2.519,1.884,3.118,0.399,0.286,0.527
