Year,Access to justice for women,Freedom of discussion for women,Access to justice for women CI (High),Access to public services distributed by urban-rural location,Access to public services distributed by urban-rural location CI (Low),Access to public services distributed by urban-rural location CI (High),Deliberative Democracy Index,Deliberative Democracy Index CI (Low),Deliberative Democracy Index CI (High),Engaged society,Engaged society CI (Low),Engaged society CI (High),Exclusion by Gender,Exclusion by Gender CI (Low),Exclusion by Gender CI (High)
1999,3.412,3.774,3.755,3.297,2.977,3.649,0.808,0.76,0.86,4.226,3.881,4.622,0.063,0.027,0.121
2000,3.412,3.774,3.755,3.297,2.977,3.649,0.816,0.771,0.87,4.491,4.228,4.839,0.063,0.027,0.121
2001,3.412,3.774,3.755,3.297,2.977,3.649,0.816,0.771,0.87,4.491,4.228,4.839,0.063,0.027,0.121
2002,3.412,3.774,3.755,3.297,2.977,3.649,0.814,0.775,0.872,4.491,4.228,4.839,0.063,0.027,0.121
2003,3.412,3.774,3.755,3.297,2.977,3.649,0.817,0.777,0.876,4.491,4.228,4.839,0.063,0.027,0.121
2004,3.412,3.774,3.755,3.297,2.977,3.649,0.818,0.778,0.877,4.491,4.228,4.839,0.063,0.027,0.121
2005,3.412,3.774,3.755,3.297,2.977,3.649,0.847,0.809,0.898,4.528,4.334,4.774,0.063,0.027,0.121
2006,3.412,3.774,3.755,3.297,2.977,3.649,0.848,0.807,0.896,4.528,4.334,4.774,0.063,0.027,0.121
2007,3.412,3.774,3.755,3.297,2.977,3.649,0.848,0.807,0.896,4.528,4.334,4.774,0.063,0.027,0.121
2008,3.412,3.774,3.755,3.297,2.977,3.649,0.848,0.807,0.896,4.528,4.334,4.774,0.063,0.027,0.121
2009,3.412,3.774,3.755,3.297,2.977,3.649,0.85,0.81,0.898,4.528,4.334,4.774,0.061,0.025,0.114
2010,3.412,3.774,3.755,3.297,2.977,3.649,0.865,0.83,0.912,4.528,4.334,4.774,0.058,0.027,0.123
2011,3.412,3.774,3.755,3.297,2.977,3.649,0.863,0.829,0.911,4.528,4.334,4.774,0.058,0.027,0.123
2012,3.412,3.774,3.755,3.297,2.977,3.649,0.863,0.829,0.911,4.528,4.334,4.774,0.058,0.027,0.123
2013,3.412,3.774,3.755,3.297,2.977,3.649,0.856,0.82,0.904,4.366,4.118,4.656,0.056,0.025,0.116
2014,3.412,3.774,3.755,3.297,2.977,3.649,0.85,0.81,0.898,4.366,4.118,4.656,0.056,0.025,0.116
2015,3.412,3.774,3.755,3.297,2.977,3.649,0.832,0.785,0.883,4.366,4.118,4.656,0.056,0.025,0.116
2016,3.412,3.774,3.755,3.297,2.977,3.649,0.832,0.785,0.883,4.366,4.118,4.656,0.056,0.025,0.116
2017,3.412,3.774,3.755,3.297,2.977,3.649,0.817,0.762,0.862,4.366,4.118,4.656,0.056,0.025,0.116
2018,3.412,3.774,3.755,3.297,2.977,3.649,0.831,0.787,0.884,4.604,4.42,4.929,0.056,0.025,0.116
2019,3.412,3.774,3.755,3.297,2.977,3.649,0.837,0.797,0.888,4.604,4.42,4.929,0.058,0.026,0.11
2020,3.437,3.774,3.815,3.154,2.798,3.56,0.746,0.692,0.818,4.256,3.923,4.69,0.12,0.059,0.197
2021,3.229,3.408,3.611,2.912,2.516,3.331,0.724,0.656,0.791,3.979,3.583,4.496,0.066,0.027,0.124
2022,3.229,3.507,3.611,2.999,2.538,3.353,0.662,0.599,0.735,3.547,3.024,4.098,0.098,0.047,0.173
